text,label
"good with dogs","dog_friendly"
"friendly with dogs","dog_friendly"
"cat that gets along with dogs","dog_friendly"
"cat that is good with dogs","dog_friendly"
"best cat for a home with dogs","dog_friendly"
"cat breed that likes dogs","dog_friendly"
"cat that can live with dogs","dog_friendly"
"cat that coexists with dogs","dog_friendly"
"cat that tolerates dogs","dog_friendly"
"cat that is calm around dogs","dog_friendly"
"cat safe around dogs","dog_friendly"
"cat that won’t fight dogs","dog_friendly"
"cat that won’t attack dogs","dog_friendly"
"cat not aggressive to dogs","dog_friendly"
"cat that is gentle with dogs","dog_friendly"
"dog compatible cat","dog_friendly"
"dog-friendly cat breed","dog_friendly"
"cat that plays well with dogs","dog_friendly"
"cat that is okay with dogs","dog_friendly"
"cat comfortable around dogs","dog_friendly"
"cat friendly to other pets and dogs","dog_friendly"
"cat for multi pet home with a dog","dog_friendly"
"cat for a house with a dog","dog_friendly"
"cat for a family with dogs","dog_friendly"
"cat for apartment with a dog","dog_friendly"
"cat that adapts to dogs","dog_friendly"
"cat that accepts dogs","dog_friendly"
"cat that is relaxed around dogs","dog_friendly"
"cat that is social with dogs","dog_friendly"
"cat that is not scared of dogs","dog_friendly"
"cat that can handle dogs","dog_friendly"
"cat that can be around dogs","dog_friendly"
"cats good with big dogs","dog_friendly"
"cats good with small dogs","dog_friendly"
"cat good with puppies","dog_friendly"
"cat that is fine with puppies","dog_friendly"
"cat okay with a new dog","dog_friendly"
"cat that can be introduced to a dog","dog_friendly"
"cat for dog owners","dog_friendly"
"best cat breed if i have a dog","dog_friendly"
"which cat breeds are good with dogs","dog_friendly"
"recommend a cat that gets along with dogs","dog_friendly"
"cat breed for homes with dogs","dog_friendly"
"cat that is friendly with dogs","dog_friendly"
"cat that doesn't mind dogs","dog_friendly"
"cat that is tolerant of dogs","dog_friendly"
"cat that is pet-friendly for dogs","dog_friendly"
"cat that is dog friendly and calm","dog_friendly"
"cat that can share space with dogs","dog_friendly"
"cat that can share a house with dogs","dog_friendly"
"cat that can share an apartment with dogs","dog_friendly"
"cat that is good with dogs at home","dog_friendly"
"cat that is good with dogs indoors","dog_friendly"
"cat that is good with dogs outdoors","dog_friendly"
"cat that will not chase dogs","dog_friendly"
"cat that will not hiss at dogs","dog_friendly"
"cat that will not swipe at dogs","dog_friendly"
"cat that will not stress around dogs","dog_friendly"
"cat that can live with my dog","dog_friendly"
"cat that can live with two dogs","dog_friendly"
"cat that can live with a senior dog","dog_friendly"
"cat that can live with an energetic dog","dog_friendly"
"cat that can live with a calm dog","dog_friendly"
"cat that can live with a large dog","dog_friendly"
"cat that can live with a small dog","dog_friendly"
"cat breed that is okay with dogs","dog_friendly"
"cat breed that is comfortable with dogs","dog_friendly"
"cat breed that is tolerant with dogs","dog_friendly"
"cat breed that is social with dogs","dog_friendly"
"cat breed that is friendly with dogs","dog_friendly"
"cat breed that adjusts to dogs","dog_friendly"
"cat breed that is not aggressive with dogs","dog_friendly"
"cat that is chill with dogs","dog_friendly"
"cat that vibes with dogs","dog_friendly"
"cat that is cool with dogs","dog_friendly"
"cat that doesn't freak out around dogs","dog_friendly"
"cat that won't run from dogs","dog_friendly"
"cat that won't hide because of dogs","dog_friendly"
"cat that can play near dogs","dog_friendly"
"cat that can sleep near dogs","dog_friendly"
"cat that can eat near dogs","dog_friendly"
"cat that can be around barking dogs","dog_friendly"
"cat that is okay with barking dogs","dog_friendly"
"cat that handles dog noise","dog_friendly"
